"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: randomSourceName","Param: theta"
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16243.780639,94.264352,"us/op",SPLIT_MIX_64,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16238.702139,120.868253,"us/op",SPLIT_MIX_64,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,14260.963652,64.841272,"us/op",KISS,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17256.051235,144.519113,"us/op",KISS,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17341.285284,137.314558,"us/op",KISS,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,15804.849387,115.569846,"us/op",WELL_1024_A,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,18399.864766,107.169255,"us/op",WELL_1024_A,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,18482.612188,119.003918,"us/op",WELL_1024_A,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17303.507659,114.554945,"us/op",WELL_44497_B,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,21241.204545,80.244348,"us/op",WELL_44497_B,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_SmallThetaAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,21280.844436,104.717829,"us/op",WELL_44497_B,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,13538.366886,182.162336,"us/op",SPLIT_MIX_64,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16299.501958,197.452239,"us/op",SPLIT_MIX_64,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16453.637780,121.480413,"us/op",SPLIT_MIX_64,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,14281.811561,85.150720,"us/op",KISS,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17347.069609,149.165379,"us/op",KISS,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,17417.340824,76.701593,"us/op",KISS,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,15187.606215,54.188386,"us/op",WELL_1024_A,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,18451.254917,60.163644,"us/op",WELL_1024_A,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,18617.729390,69.041182,"us/op",WELL_1024_A,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16221.289136,103.816766,"us/op",WELL_44497_B,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,19655.699904,127.595831,"us/op",WELL_44497_B,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaRepeatUse_WrapperAhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,19983.294351,136.997889,"us/op",WELL_44497_B,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,14330.675636,91.532073,"us/op",SPLIT_MIX_64,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16507.700609,110.491407,"us/op",SPLIT_MIX_64,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,16507.265969,67.569848,"us/op",SPLIT_MIX_64,0.9876
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,14950.262062,66.594116,"us/op",KISS,0.123
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,18019.926614,115.428892,"us/op",KISS,0.51
"org.apache.commons.rng.sampling.distribution.GammaSamplersPerformance.runSmallThetaSingleUse_AhrensDieterMarsagliaTsangGammaSampler","avgt",1,20,18057.168443,121.419907,"us/op",KISS,0.9876
